post_id,dirigente_id,dirigente_nombre,plataforma,content,published_at
4459,8,Laura Ballesteros Mancilla,TIKTOK,"Esa es la realidad en México con Morena: mientras sus legisladores no vienen a trabajar (o vienen a dormirse a las sesiones), juegan pádel mientras están en sesiones remotas o se van a realitys, los premian con cargos públicos.

Mientras la gente trabaja jornadas completas. Ya basta de simulación: menos pretextos y más presencia.
Que trabajen como la gente: 48 horas, de cara al país y con resultados.

Pónganse a trabajar huevones, el país no está para simulaciones.",2026-05-05T17:33:55+00:00
4427,8,Laura Ballesteros Mancilla,INSTAGRAM,"¡Feliz día de la niñez! Porque ustedes son lo más importante para 🇲🇽, y los vamos a cuidar. Celebro la vida de todas y todos ustedes, con la misma alegría con la que celebro la de mi Emilio. Cuando nació , el corazón me creció, se expandió sin límites. Mi compañero de todas las vidas. No se pierdan las últimas 2 fotos 😍.

PD. A esa niña mía de hace muchos años, le diría que todo salió bien :)

🌟",2026-04-30T15:34:13+00:00
4204,8,Laura Ballesteros Mancilla,TWITTER,"Las familias buscadoras están haciendo lo que el Estado no quiso hacer: exigir justicia.

Hoy diversos colectivos están impulsando juicios políticos contra Rosario Piedra por las omisiones de la CNDH. No es política: es dignidad frente a la negligencia.

Desde la Cámara vamos a acompañarlas con herramientas para que puedan presentar sus denuncias y exigir justicia. Porqué México no puede seguir fallándoles.

https://t.co/Ek4X8ABK9U",2026-04-24T23:31:05+00:00
4242,8,Laura Ballesteros Mancilla,TWITTER,"Lo logramos: defender un árbol nunca fue exageración, fue defender la vida. 🌳

Hoy damos un paso histórico con la Ley Eugenito se endurecen sanciones a delitos ambientales, se combate la simulación y se reconoce que el daño ambiental no es menor.  

Cuando el gobierno falla, la comunidad se organiza. Y transforma leyes.",2026-04-22T23:20:54+00:00
4385,8,Laura Ballesteros Mancilla,TWITTER,"Exijo la renuncia de @RosarioPiedraIb.

La @CNDH no puede ser cómplice ni encubrir la crisis de desapariciones en México. Más de 20 mil personas desaparecidas en los últimos años y una institución que le falla a las víctimas no puede seguir igual.  

La Comisión debe estar del",2026-04-07T20:17:10+00:00
4395,8,Laura Ballesteros Mancilla,TWITTER,"Porque al Congreso se viene a trabajar, nos vemos acá la semana que viene. Gracias a @IntegridadMx alzaremos la voz en uno de los temas más urgentes para las familias mediabas y para las mujeres y juventudes: 

El transporte público.",2026-04-07T00:19:54+00:00
4452,8,Laura Ballesteros Mancilla,TIKTOK,"La gente está cansada de pleitos y polarización. Quiere resultados: 40 horas con 2 días de descanso reales, no simulaciones.

En San Lázaro exijamos que vengan a trabajar y dejen las cortinas de humo que tapan la crisis de feminicidios y desapariciones. El Legislativo no está de adorno.

A las víctimas y madres buscadoras: no están solas. Impulsaremos amparos y juicios políticos contra Rosario Piedra Ibarra y exigimos que la FGR atraiga el caso de Edith Guadalupe.

Verdad, justicia y reparación.",2026-04-27T16:20:40+00:00
4243,8,Laura Ballesteros Mancilla,TWITTER,"RT @LuisCardenasMx: 🫵👩‍🦰PIDEN JUICIO POLÍTICO CONTRA ROSARIO PIEDRA

Familiares y colectivos de desaparecidos, junto con la diputada @LBall…

[QT] 🫵👩‍🦰PIDEN JUICIO POLÍTICO CONTRA ROSARIO PIEDRA

Familiares y colectivos de desaparecidos, junto con la diputada @LBallesterosM presentaron solicitud formal por presunta omisión al frente de la CNDH ante la crisis. https://t.co/lIQiai44GF",2026-04-22T22:31:29+00:00
4227,8,Laura Ballesteros Mancilla,TWITTER,"RT @JZavalaGt: En @MovCiudadanoMX sabemos que lo más importante se construye en equipo: dialogando, escuchando y de, paso, con alegría. 

A…

[QT] En @MovCiudadanoMX sabemos que lo más importante se construye en equipo: dialogando, escuchando y de, paso, con alegría. 

Así trabajamos en la Fuerza Naranja. 🍊 https://t.co/eGs3SCm1Fw",2026-04-23T21:53:44+00:00
4255,8,Laura Ballesteros Mancilla,TWITTER,"Exijo juicio político contra Rosario Piedra Ibarra. No se puede ser omisa frente al dolor de las madres buscadoras ni darle la espalda a la crisis de desapariciones.

Desde el Congreso vamos a actuar. Las víctimas no están solas y merecen una CNDH que sí esté de su lado.

https://t.co/OgXPgGrC9h",2026-04-22T20:59:59+00:00
4888,8,Laura Ballesteros Mancilla,TWITTER,"🚨Milagro de Pascua.  11.30am ¿diputados trabajando en lugar de darse vacaciones?

Les tengo primicia, en esta semana “vacacional” nos citaron 3 días seguidos a sesión en pleno, gracias a la presión que todas y todos han hecho para obligar a los diputados webones a que vengan a https://t.co/y7UNdfTTKY",2026-04-08T18:55:34+00:00
4228,8,Laura Ballesteros Mancilla,TWITTER,"Otro más. Debemos organizarnos, vecinos. Esto debe parar.

[QT] Esta es la poda que hace la Alcaldía BJ o dieron el permiso para tirar un árbol sano en Martín Mendalde y Pilares? @ColoniasdeBJ @BJAlcaldia @Delvalle_Quejas @NarvarteVecinos @En_laDelValle @LuisMendozaBJ https://t.co/9zCjrFLKDM",2026-04-23T19:57:03+00:00
4474,8,Laura Ballesteros Mancilla,TIKTOK,"A tí que te gustan las estadísticas de fútbol. Échale un ojo a este video. México no descansa desde hace un siglo, y desde nuestro primer mundial en 1970 la jornada laboral era de 48 horas. 

El descanso no es un juego. 40 horas YA, con 2 días de descanso a la semana. Y vamos por lo que falta: 5 días personales de descanso al año.

Si el pueblo no descansa, el Congreso tampoco.",2026-04-28T19:33:07+00:00
4304,8,Laura Ballesteros Mancilla,INSTAGRAM,"Del “no al fracking” al “vamos a revisarlo”… así se renuncia a ponerle orden a los grandes capitales.

El compromiso de la Presidenta Sheinbaum en su campaña fue claro: no permitir la explotación con fracking en México. 

El agua y la tierra no se negocian, el futuro de las niñas y jóvenes menos.",2026-04-21T21:31:20+00:00
4305,8,Laura Ballesteros Mancilla,INSTAGRAM,"¿Quién defiende a las víctimas cuando el Estado falla?

Ese es el trabajo de la Comisión Nacional de Derechos Humanos, y no lo ha hecho. Es inexistente, no sólo eso, es parte del problema y su titular debe rendir cuentas. 

Por eso, ponemos a disposición de las víctimas, de las madres y familias de personas desaparecidas el juicio político contra Rosario Piedra, y serán ellas y ellos a través de una  lluvia de juicios políticos quienes los presentaran, la exigencia no puede esperar: justicia frente a desapariciones ya señaladas como crímenes de lesa humanidad.",2026-04-21T17:46:01+00:00
4426,8,Laura Ballesteros Mancilla,INSTAGRAM,"No es un caso aislado: es un sistema corrupto y cómplice.

El caso de Edith Guadalupe, junto con otros en CDMX y Morelos, vuelven a exhibir fallas graves en las Fiscalías: piden mordida, esconden culpables, pérdida de evidencia, sin perspectiva de género y posibles redes de trata y feminicidio que no se investigan a fondo.

Desde @movciudadanomx exigimos reformar Fiscalías y Ministerios Públicos. En este caso, la Fiscalía General debe atraer el caso, por posibles crímenes de trata de personas.",2026-04-29T00:09:20+00:00
4301,8,Laura Ballesteros Mancilla,INSTAGRAM,"Prometieron transición energética, hoy apuestan por el fracking.

Morena cambió el discurso: 87% de la inversión sigue en energías fósiles mientras relegan las renovables. Las energías limpias sí se pueden almacenar y son el futuro. México debería invertir al menos 50% en renovables. 

Ya hay 140 mil firmas en contra del fracking. No es justo para el país ni para las nuevas generaciones.",2026-04-22T23:37:44+00:00
4041,8,Laura Ballesteros Mancilla,FACEBOOK,"POV: no descansas, sobrevives.

En México el descanso sigue siendo un privilegio: te dan “días libres” para resolver la vida, no para vivirla. Por eso vamos por 5-6 días personales al año y #40HorasAhora con 2 días de descanso semanal.

#ElDescansoNoEsJuego",2026-04-18T02:48:15.830000+00:00
4225,8,Laura Ballesteros Mancilla,TWITTER,"El Metro de la CDMX está en crisis y lo están pagando quienes menos deben: las y los usuarios. Hoy el sistema se sostiene más con el boleto que con inversión pública, y así no hay mantenimiento que alcance.

Fui Subsecretaria de Movilidad y lo digo con claridad: esto no se resuelve en sexenios ni con parches. Se necesita inversión histórica, metropolitana y de largo plazo.

La pregunta directa es: ¿quién está defendiendo a las personas usuarias y a las y los trabajadores? 🚇",2026-04-23T21:54:57+00:00
4077,8,Laura Ballesteros Mancilla,YOUTUBE,"Decir que ""el pueblo pidió esta reforma"" es mentir con todas sus letras.",2026-02-18T00:00:00+00:00
